Experiment,Model,Accuracy,Macro_F1,Weighted_F1,Time_Seconds,Input_Feature_Count
GCN / Original Cora Features,GCN,0.8819188191881919,0.8777923968188519,0.8815325078432996,2.14595103263855,1433
GCN / Original + Graph Indices,GCN,0.8634686346863468,0.8596773575490301,0.8632755171382726,2.113163948059082,1440
